id,Year,Reported_Incidents,Arrest,Charges,Arrest_Rate,Filing_Rate
0,2015,63035,2756,1695,0.04372174189,0.6150217707
1,2016,60118,2722,1804,0.04527762068,0.6627479794
2,2017,67422,2594,1733,0.03847408858,0.668080185
3,2018,62972,3165,2197,0.05026043321,0.6941548183
4,2019,61809,3004,1934,0.04860133637,0.6438082557
5,2020,48355,2482,1234,0.05132871471,0.4971796938
6,2021,56161,2291,1512,0.04079343317,0.6599738106
7,2022,59502,2287,1602,0.03843568283,0.7004809794
8,2023,39185,1679,1147,0.04284802858,0.683144729
9,2023*,56309,2413,1648,0.04284802858,0.683144729